"ID","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation","Poss_all","SEASON","group","group2","group3"
"101106",0.366492146596859,0.193717277486911,0.0654450261780105,0.0968586387434555,0.18848167539267,0.049738219895288,0.00785340314136126,0.00785340314136126,0.00785340314136126,0.00785340314136126,0.00785340314136126,382,2016,3,1,1
"101107",0.0639269406392694,0.0707762557077626,0.04337899543379,0.148401826484018,0.0901826484018265,0.0810502283105023,0.0365296803652968,0.045662100456621,0.0205479452054795,0.394977168949772,0.0045662100456621,876,2016,4,6,6
"101108",0.00380886426592798,0.0650969529085873,0.0138504155124654,0.00380886426592798,0.00969529085872576,0.128808864265928,0.0325484764542936,0.00900277008310249,0.518698060941828,0.0623268698060942,0.152354570637119,1444,2016,1,5,7
"101109",0.018140589569161,0.0657596371882086,0.00264550264550265,0.00264550264550265,0.00264550264550265,0.0861678004535147,0.0260770975056689,0.0226757369614512,0.448979591836735,0.222222222222222,0.102040816326531,882,2016,1,5,7
"101111",0.040650406504065,0.032520325203252,0.0623306233062331,0.10840108401084,0.0487804878048781,0.121951219512195,0.035230352303523,0.151761517615176,0.010840108401084,0.376693766937669,0.010840108401084,369,2016,4,4,4
"101112",0.0297029702970297,0.0495049504950495,0.0717821782178218,0.190594059405941,0.0297029702970297,0.0816831683168317,0.0239273927392739,0.0544554455445545,0.0239273927392739,0.420792079207921,0.0239273927392739,404,2016,4,4,4
"101114",0.0177339901477833,0.0600985221674877,0.0857142857142857,0.00295566502463054,0.00295566502463054,0.104433497536946,0.058128078817734,0.115270935960591,0.275862068965517,0.166502463054187,0.110344827586207,1015,2016,1,5,5
"101123",0.0357675111773472,0.0461997019374069,0.0283159463487332,0.00447093889716841,0.0283159463487332,0.172876304023845,0.117734724292101,0.11177347242921,0.0730253353204173,0.348733233979136,0.0327868852459016,671,2016,4,4,3
"101127",0.00555555555555556,0.0707070707070707,0.00555555555555556,0.00555555555555556,0.00555555555555556,0.109090909090909,0.0464646464646465,0.0282828282828283,0.438383838383838,0.183838383838384,0.101010101010101,495,2016,1,5,7
"101133",0.29601226993865,0.108895705521472,0.107361963190184,0.208588957055215,0.0904907975460123,0.0782208588957055,0.00255623721881391,0.00255623721881391,0.00255623721881391,0.0797546012269939,0.0230061349693252,652,2016,3,1,1
"101135",0.203619909502262,0.0610859728506787,0.153846153846154,0.239819004524887,0.138009049773756,0.0927601809954751,0.0128205128205128,0.0128205128205128,0.0128205128205128,0.0407239819004525,0.0316742081447964,442,2016,3,1,1
"101138",0.177156177156177,0.0629370629370629,0.114219114219114,0.272727272727273,0.123543123543124,0.121212121212121,0.00466200466200466,0.00466200466200466,0.00466200466200466,0.048951048951049,0.0652680652680653,429,2016,3,1,1
"101139",0.00855263157894737,0.05,0.00855263157894737,0.025,0.0236842105263158,0.203947368421053,0.105263157894737,0.186842105263158,0.0710526315789474,0.290789473684211,0.0263157894736842,760,2016,5,2,3
"101141",0.08375,0.05125,0.05,0.1425,0.14875,0.1325,0.0125,0.04875,0.01125,0.3075,0.01125,800,2016,2,6,6
"101145",0.01906941266209,0.0549199084668192,0.005720823798627,0.005720823798627,0.0137299771167048,0.174675819984744,0.0671243325705568,0.0564454614797864,0.382913806254767,0.146453089244851,0.0732265446224256,1311,2016,1,5,7
"101150",0.0153846153846154,0.0235897435897436,0.00205128205128205,0.00205128205128205,0.0153846153846154,0.141538461538462,0.078974358974359,0.0882051282051282,0.436923076923077,0.102564102564103,0.0933333333333333,975,2016,1,5,7
"101161",0.19304347826087,0.12695652173913,0.109565217391304,0.156521739130435,0.173913043478261,0.107826086956522,0.00231884057971014,0.00231884057971014,0.00231884057971014,0.0939130434782609,0.031304347826087,575,2016,3,1,1
"101162",0.313265306122449,0.0816326530612245,0.156122448979592,0.230612244897959,0.107142857142857,0.0755102040816327,0.00272108843537415,0.00272108843537415,0.00272108843537415,0.0163265306122449,0.0112244897959184,980,2016,3,1,1
"101179",0.00775193798449612,0.0645994832041344,0.00775193798449612,0.00775193798449612,0.00775193798449612,0.17312661498708,0.0801033591731266,0.0284237726098191,0.201550387596899,0.325581395348837,0.0956072351421189,387,2016,5,2,5
