"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"GregFillmore","NYK","34","C","7-1","240 lbs","Cheyney","USA","76715"
"HankFinkel","BOS","29","C","7-0","240 lbs","Dayton","USA","76716"
"MichaelFinley","DAL","40","G-F","6-7","225 lbs","Wisconsin","USA","714"
"DannyFinn","GSW","7","G","6-1","185 lbs","St. John's","USA","76717"
"DorianFinney-Smith","DAL","10","F","6-7","220 lbs","Florida","USA","1627827"
"MattFish","LAC","50","C","6-11","265 lbs","North Carolina-Wilmington","USA","900"
"DerekFisher","LAL","6","G","6-1","210 lbs","Arkansas-Little Rock","USA","965"
"GeraldFitch","MIA","4","G","6-3","188 lbs","Kentucky","USA","2809"
"MalikFitts","BOS","8","F","6-5","230 lbs","-","USA","1630238"
"BobFitzgerald","HUS","10   12","F","6-5","190 lbs","Fordham","USA","76720"
"DickFitzgerald","HUS","","F","6-2","175 lbs","Seton Hall","USA","76719"
"MarcusFizer","CHI","21","F","6-8","260 lbs","Iowa State","USA","2033"
"JerryFleishman","GSW","4","G","6-2","190 lbs","New York University","USA","76721"
"AlFleming","OKC","30","F","6-7","215 lbs","Arizona","USA","76722"
"EdFleming","LAL","50","G","6-3","189 lbs","Niagara","USA","76723"
"VernFleming","IND","10","G","6-5","185 lbs","Georgia","USA","313"
"LuisFlores","GSW","12","G","6-2","195 lbs","Manhattan","USA","2784"
"BruceFlowers","CLE","23","F","6-8","225 lbs","Notre Dame","USA","76725"
"SleepyFloyd","HOU","12","G","6-3","170 lbs","Georgetown","USA","76726"
"JonnyFlynn","MIN","3","G","6-0","185 lbs","Syracuse","USA","201938"
"MalachiFlynn","TOR","22","G","6-1","175 lbs","San Diego State","USA","1630201"
"MikeFlynn","IND","44","G","6-2","180 lbs","Kentucky","USA","76727"
"LarryFogle","NYK","44","G","6-5","205 lbs","Canisius","USA","76728"
"JackFoley","NYK","7","F","6-3","170 lbs","Holy Cross","USA","76729"
"IkeFontaine","MEM","","","","","Washington State","USA","1829"
"LeviFontaine","GSW","12","G","6-4","190 lbs","Maryland-Eastern Shore","USA","76731"
"SimoneFontecchio","UTA","","F","6-8","209 lbs","","Italy","1631323"
"JeffFoote","NOP","54","C-F","7-0","265 lbs","Cornell","USA","202880"
"BrynForbes","MIN","6","G","6-2","205 lbs","Michigan State","USA","1627854"
"GaryForbes","DEN","3","F","6-7","220 lbs","Massachusetts","Panama","201814"
"AleemFord","ORL","","F","6-8","220 lbs","Wisconsin","USA","1630758"
"AlphonsoFord","OKC","8","F","6-1","190 lbs","Mississippi Valley State","USA","76732"
"AltonFord","PHX","4","F","6-9","280 lbs","Houston","USA","2228"
"ChrisFord","DET","42","G","6-5","190 lbs","Villanova","USA","76733"
"DonFord","LAL","35","F","6-9","215 lbs","California-Santa Barbara","USA","76734"
"JakeFord","OKC","33","G","6-3","180 lbs","Maryland-Eastern Shore","USA","76735"
"PhilFord","SAC","1","G","6-2","175 lbs","North Carolina","USA","76736"
"SharrodFord","PHX","","F","6-9","235 lbs","Clemson","USA","101213"
"SherellFord","OKC","1","F","6-7","210 lbs","Illinois-Chicago","USA","726"
"T.J.Ford","IND","5","G","6-0","165 lbs","Texas-Austin","USA","2551"
"DonnieForman","LAL","22","G","5-10","175 lbs","New York University","USA","76738"
"BayardForrest","PHX","35","C","6-10","235 lbs","Grand Canyon","USA","76739"
"TrentForrest","ATL","3","G","6-4","210 lbs","Florida State","USA","1630235"
"JosephForte","OKC","40","G","6-4","194 lbs","North Carolina","USA","2218"
"CourtneyFortson","HOU","9","G","5-11","185 lbs","Arkansas","USA","202622"
"DannyFortson","DEN","21","C-F","6-8","260 lbs","Cincinnati","USA","1504"
"FredFoster","PHI","5","F","6-5","210 lbs","Miami (Ohio)","USA","76740"
"GregFoster","UTA","43","C","6-11","250 lbs","Texas-El Paso","USA","323"
"JeffFoster","IND","10","F-C","6-11","250 lbs","Southwest Texas State","USA","1902"
"RodFoster","PHX","10","G","6-1","160 lbs","UCLA","USA","76742"
"MichaelFoster Jr.","PHI","","F","6-8","250 lbs","","USA","1630701"
"AntonisFotsis","MEM","6","F","6-10","219 lbs","Panathinaikos","Greece","2238"
"EvanFournier","NYK","13","G-F","6-6","205 lbs","Poitiers Basket 86","France","203095"
"LarryFoust","DET","14","C","6-9","215 lbs","La Salle","USA","76744"
"JerryFowler","ATL","","C","6-7","230 lbs","Missouri","USA","76745"
"TremaineFowlkes","LAC","24","F","6-6","212 lbs","Fresno State","USA","1762"
"De'AaronFox","SAC","5","G","6-3","185 lbs","Kentucky","USA","1628368"
"HaroldFox","LAC","7","G","6-2","175 lbs","Jacksonville","USA","76746"
"JimFox","OKC","40","C","6-10","230 lbs","South Carolina","USA","76747"
"RickFox","LAL","17","F","6-7","235 lbs","North Carolina","Canada","296"
"RandyFoye","MIN","2","G","6-4","218 lbs","Villanova","USA","200751"
"AdonalFoyle","GSW","31","C","6-10","270 lbs","Colgate","St. Vincent & Grenadines","1502"
"RichieFrahm","OKC","14","G","6-5","210 lbs","Gonzaga","USA","2499"
"SteveFrancis","HOU","3","G","6-3","210 lbs","Maryland","USA","1883"
"TellisFrank","GSW","32","F","6-10","225 lbs","Western Kentucky","USA","76748"
"NatFrankel","PIT","","F","6-0","195 lbs","Brooklyn","USA","76749"
"JamaalFranklin","MEM","22","G","6-5","191 lbs","San Diego State","USA","203479"
"RobertFranks","ORL","22","F","6-7","225 lbs","Washington State","USA","1629606"
"TimFrazier","CLE","10","G","6-0","170 lbs","Penn State","USA","204025"
"WaltFrazier","NYK","10","G","6-4","200 lbs","Southern Illinois","USA","76750"
"WillFrazier","GSW","","F","6-7","210 lbs","Grambling","USA","76751"
"MichaelFrazier II","HOU","21","G","6-3","200 lbs","Florida","USA","1626187"
"MelvinFrazier Jr.","ORL","6","G-F","6-5","215 lbs","Tulane","USA","1628982"
"AnthonyFrederick","CHA","24","F","6-7","205 lbs","Pepperdine","USA","76752"
"JimmerFredette","SAC","32","G","6-2","195 lbs","Brigham Young","USA","202690"
"WorldFree","CLE","21","G","6-3","185 lbs","Guilford","USA","76753"
"EnesFreedom","BOS","11","C","6-10","250 lbs","","Turkey","202683"
"JoelFreeland","POR","19","C-F","6-10","225 lbs","Malaga","United Kingdom","200777"
"DonnieFreeman","LAL","20","G","6-3","185 lbs","Illinois","USA","76754"
"GaryFreeman","MIL","23","F","6-9","210 lbs","Oregon State","USA","76755"
"RodFreeman","PHI","26","F","6-7","225 lbs","Vanderbilt","USA","76756"
"JavonFreeman-Liberty","CHI","","G","6-4","180 lbs","DePaul","USA","1631241"
"MattFreije","NOP","","F","6-9","249 lbs","Vanderbilt","USA","2782"
"FridoFrey","NYK","4","F","6-2","195 lbs","Long Island-Brooklyn","USA","76757"
"LarryFriend","NYK","7","G","6-4","185 lbs","California","USA","76758"
"PatFrink","SAC","17","G","6-4","195 lbs","Colorado","USA","76759"
"JimFritsche","BAL","8","C","6-8","210 lbs","Hamline","USA","76760"
"ChanningFrye","PHX","9","F-C","7-0","255 lbs","Arizona","USA","101112"
"BernieFryer","POR","25","G","6-3","185 lbs","Brigham Young","USA","76761"
"FrankFucarino","HUS","","F","6-2","175 lbs","Long Island-Brooklyn","USA","76762"
"HermFuetsch","BAL","","G","6-0","170 lbs","Polytechnic HS (CA)","USA","76763"
"JoeFulks","GSW","10","F","6-5","190 lbs","Murray State","USA","76764"
"HiramFuller","ATL","15","F","6-9","240 lbs","Fresno State","USA","2673"
"ToddFuller","GSW","52","C","6-11","255 lbs","North Carolina State","USA","957"
"TonyFuller","DET","","G","6-4","180 lbs","Pepperdine","USA","76765"
"MarkelleFultz","ORL","20","G","6-4","209 lbs","Washington","USA","1628365"
"LawrenceFunderburke","SAC","51","F","6-9","230 lbs","Ohio State","USA","1444"
"TerryFurlow","CLE","25","G","6-5","190 lbs","Michigan State","USA","76767"
"BillyGabor","PHI","7","G","5-11","170 lbs","Syracuse","USA","76768"
"WenyenGabriel","LAL","35","F","6-9","205 lbs","Kentucky","South Sudan","1629117"
"DanGadzuric","MIL","50","C","6-11","240 lbs","UCLA","Netherlands","2429"
"TonyGaffney","MEM","24","F","6-8","205 lbs","Massachusetts","USA","202070"
"DanielGafford","WAS","21","F-C","6-9","234 lbs","Arkansas","USA","1629655"
"DengGai","PHI","35","F","6-9","250 lbs","Fairfield","South Sudan","101184"
"Elmer R.Gainer","WAT","","","","","DePaul","USA","76769"
"CoreyGaines","BKN","5","G","6-3","195 lbs","Loyola-Marymount","USA","76770"
"ReeceGaines","ORL","34","G","6-6","205 lbs","Louisville","USA","2558"
"SundiataGaines","BKN","1","G","6-1","200 lbs","Georgia","USA","202178"
"MikeGale","SAS","12","G","6-4","185 lbs","Elizabeth City State","USA","76771"
"ChadGallagher","UTA","55","C","6-10","255 lbs","Creighton","USA","76772"
"HarryGallatin","NYK","10","F","6-6","210 lbs","Truman State","USA","76773"
"DaniloGallinari","BOS","8","F","6-10","236 lbs","Olimpia Milano","Italy","201568"
"LangstonGalloway","MIL","2","G","6-1","200 lbs","St. Joseph's (PA)","USA","204038"
"DaveGambee","PHI","20","F","6-6","215 lbs","Oregon State","USA","76774"
"KevinGamble","BOS","40","G-F","6-6","225 lbs","Iowa","USA","333"
"BobGantt","WAS","","F","6-4","205 lbs","Duke","USA","76776"
"JorgeGarbajosa","TOR","15","F","6-9","245 lbs","Malaga","Spain","200816"
"RubenGarces","PHX","","F","","","Providence","USA","2092"
"AlexGarcia","NOP","10","G-F","6-3","195 lbs","Ribeirao Preto","Brazil","2682"
"FranciscoGarcia","SAC","32","G-F","6-7","195 lbs","Louisville","Dominican Republic","101128"
"EarlGardner","LAL","14","F","6-3","195 lbs","DePauw","USA","76778"
"ThomasGardner","ATL","3","G","6-5","225 lbs","Missouri","USA","201242"
"VernGardner","GSW","12","C","6-5","200 lbs","Utah","USA","76779"
"JackGarfinkel","BOS","21","G","6-0","190 lbs","St. John's","USA","76780"
"PatricioGarino","ORL","29","G-F","6-6","203 lbs","George Washington","Argentina","1627868"
"DariusGarland","CLE","10","G","6-1","192 lbs","Vanderbilt","USA","1629636"
"GaryGarland","DEN","24","G","6-4","180 lbs","DePaul","USA","76781"
"WinstonGarland","GSW","22","G","6-2","170 lbs","Missouri State","USA","76782"
"DickGarmaker","LAL","17","G","6-3","200 lbs","Minnesota","USA","76783"
"ChrisGarner","TOR","2","G","5-10","156 lbs","Memphis","USA","1612"
"BillGarnett","DAL","20","F","6-9","225 lbs","Wyoming","USA","76785"
"KevinGarnett","MIN","21","F","6-11","240 lbs","Farragut Academy HS (IL)","USA","708"
"MarlonGarnett","BOS","20","G","6-2","186 lbs","Santa Clara","USA","1831"
"BillyGarrett","NYK","3","G-F","6-6","215 lbs","DePaul","USA","1628656"
"CalvinGarrett","HOU","0","F","6-7","190 lbs","Oral Roberts","USA","76786"
"DeanGarrett","MIN","22","C","6-11","250 lbs","Indiana","USA","1051"
"DianteGarrett","UTA","8","G","6-4","190 lbs","Iowa State","USA","203197"
"EldoGarrett","LAC","14","G","6-3","185 lbs","Southern Illinois","USA","76788"
"MarcusGarrett","MIA","0","G","6-5","205 lbs","Kansas","USA","1630585"
"RowlandGarrett","CHI","24","F","6-6","210 lbs","Florida State","USA","76789"
"TomGarrick","LAC","5","G","6-2","185 lbs","Rhode Island","USA","76790"
"JohnGarris","CLE","55","F","6-8","205 lbs","Boston College","USA","76791"
"KiwaneGarris","DEN","3","G","6-2","183 lbs","Illinois","USA","1619"
"PatGarrity","ORL","8","F","6-9","238 lbs","Notre Dame","USA","1727"
"UsmanGaruba","HOU","16","F","6-8","229 lbs","Real Madrid","Spain","1630586"
"JimGarvin","LAC","30","F","6-7","200 lbs","Boston University","USA","76793"
"LukaGarza","MIN","55","C","6-10","243 lbs","Iowa","USA","1630568"
"MarcGasol","MEM","14","C","6-11","255 lbs","","Spain","201188"
"PauGasol","LAL","16","C-F","7-0","250 lbs","","Spain","2200"
"FrankGates","AND","","G","6-0","160 lbs","Sam Houston State","USA","76794"
"ChrisGatling","GSW","32","C-F","6-10","230 lbs","Old Dominion","USA","423"
"KennyGattison","CHA","44","F","6-8","225 lbs","Old Dominion","USA","930"
"RudyGay","UTA","8","F-G","6-8","250 lbs","Connecticut","USA","200752"
"EdGayda","ATL","10","G","6-4","210 lbs","Washington State","USA","76797"
"AndrewGaze","SAS","4","F","6-7","205 lbs","Seton Hall","USA","1845"
"MichaelGbinije","DET","9","G-F","6-7","200 lbs","Syracuse","USA","1627771"
"ReggieGeary","SAS","4","G","6-2","187 lbs","Arizona","USA","1002"
"AlonzoGee","CLE","15","F","6-6","225 lbs","Alabama","USA","202087"
"MattGeiger","CHA","52","C","7-1","248 lbs","Georgia Tech","USA","761"
"MickaelGelabale","OKC","15","F","6-7","215 lbs","Real Madrid","France","101153"
"DeveanGeorge","LAL","19","F","6-8","235 lbs","Augsburg","USA","1904"
"JackGeorge","GSW","5","G","6-3","190 lbs","La Salle","USA","76800"
"PaulGeorge","LAC","13","F","6-8","220 lbs","Fresno State","USA","202331"
"TateGeorge","BKN","12","G","6-5","190 lbs","Connecticut","USA","76801"
"MarcusGeorges-Hunt","MIN","13","G","6-5","226 lbs","Georgia Tech","USA","1627875"
"GusGerard","SAC","22","F","6-8","200 lbs","Virginia","USA","76802"
"DerrickGervin","BKN","30","F","6-8","200 lbs","Texas-San Antonio","USA","76803"
"GeorgeGervin","SAS","44","G","6-7","180 lbs","Eastern Michigan","USA","76804"
"GorhamGetchell","PIT","","C","6-4","205 lbs","Temple","USA","76805"
"JohnGianelli","NYK","40","C","6-10","220 lbs","Pacific","USA","76806"
"DickGibbs","LAC","21","F","6-5","210 lbs","Texas-El Paso","USA","76807"
"DanielGibson","CLE","1","G","6-2","200 lbs","Texas-Austin","USA","200789"
"DeeGibson","ATL","18","G","5-11","175 lbs","Western Kentucky","USA","76808"
"JonathanGibson","DAL","3","G","6-2","185 lbs","New Mexico State","USA","1626780"
"MelGibson","LAL","15","G","6-3","180 lbs","Western Carolina","USA","76809"
"MikeGibson","DET","35","F","6-10","205 lbs","South Carolina Upstate","USA","76810"
"TajGibson","WAS","67","F","6-9","232 lbs","Southern California","USA","201959"
"WardGibson","WAT","","","","","Creighton","USA","76811"
"J.R.Giddens","BOS","4","G","6-5","215 lbs","New Mexico","USA","201592"
"JoshGiddey","OKC","3","G","6-8","205 lbs","NBA Global Academy","Australia","1630581"
"TreyGilder","MEM","2","F","6-9","205 lbs","Northwestern State","USA","201821"
"HarryGiles III","SAC","4","F-C","6-11","240 lbs","Duke","USA","1628385"
"ShaiGilgeous-Alexander","OKC","2","G","6-6","180 lbs","Kentucky","Canada","1628983"
"AnthonyGill","WAS","16","F","6-7","230 lbs","Virginia","USA","1630264"
"EddieGill","IND","4","G","6-0","190 lbs","Weber State","USA","2109"
"KendallGill","BKN","13","G","6-5","216 lbs","Illinois","USA","383"
"BenGillery","SAC","50","C","7-0","235 lbs","Georgetown","USA","76812"
"CollinGillespie","DEN","21","G","6-3","195 lbs","Villanova","USA","1631221"
"FreddieGillespie","ORL","","F","6-9","245 lbs","Baylor","USA","1630273"
"GeneGillette","WAS","","","","","St. Mary's (CA)","USA","76813"
"ArmenGilliam","BKN","5","F","6-9","260 lbs","UNLV","USA","288"
"HermGilliam","ATL","3","G","6-3","190 lbs","Purdue","USA","76815"
"ArtisGilmore","CHI","53","C","7-2","240 lbs","Jacksonville","USA","600014"
"WaltGilmore","POR","48","F","6-6","225 lbs","Fort Valley State","USA","76817"
"ChuckGilmur","CHS","","F","6-4","225 lbs","Washington","USA","76818"
"ManuGinobili","SAS","20","G","6-6","205 lbs","Virtus Bologna","Argentina","1938"
"GordanGiricek","UTA","2","G","6-6","220 lbs","CSKA Moscow","Croatia","1921"
"JackGivens","ATL","21","F","6-5","205 lbs","Kentucky","USA","76819"
"MickellGladness","GSW","32","C","6-11","220 lbs","Alabama A&M","USA","202148"
"GeorgeGlamack","JET","","C","6-6","225 lbs","North Carolina","USA","76820"
"GeraldGlass","MIN","25","F","6-5","221 lbs","Mississippi","USA","76821"
"MikeGlenn","ATL","10","G","6-2","175 lbs","Southern Illinois","USA","76822"
"NormanGlick","LAL","20","F","6-6","190 lbs","Loyola-Marymount","USA","76823"
"GeorgiGlouchkov","PHX","16","F","6-8","235 lbs","Akademik Varna","Bulgaria","76824"
"ClarenceGlover","BOS","28","F","6-8","210 lbs","Western Kentucky","USA","76825"
"DionGlover","ATL","22","G","6-5","225 lbs","Georgia Tech","USA","1901"
"AndreasGlyniadakis","OKC","35","C","7-1","280 lbs","AEK Athens","Greece","2601"
"MikeGminski","BKN","43","C","6-11","250 lbs","Duke","USA","76826"
"RudyGobert","MIN","27","C","7-1","258 lbs","Cholet","France","203497"
"DanGodfread","MIN","35","F","6-10","250 lbs","Evansville","USA","76827"
"TomGola","GSW","6","G","6-6","205 lbs","La Salle","USA","76828"
"BenGoldfaden","WAS","","F","6-1","185 lbs","George Washington","USA","76829"
"AnthonyGoldwire","DEN","5","G","6-2","182 lbs","Houston","USA","924"
"RyanGomes","MIN","15","F","6-7","245 lbs","Providence","USA","101155"
"GlenGondrezick","DEN","22","F","6-6","218 lbs","UNLV","USA","76830"
"GrantGondrezick","PHX","3","G","6-5","205 lbs","Pepperdine","USA","76831"
"DrewGooden","CLE","90","F","6-10","250 lbs","Kansas","USA","2400"
"GailGoodrich","LAL","25","G","6-1","170 lbs","UCLA","USA","76832"
"SteveGoodrich","CHI","30","C","6-10","220 lbs","Princeton","USA","1864"
"ArchieGoodwin","PHX","10","G","6-5","205 lbs","Kentucky","USA","203462"
"BrandonGoodwin","CLE","00","G","6-0","180 lbs","Florida Gulf Coast","USA","1629164"
"JordanGoodwin","WAS","7","G","6-3","200 lbs","St. Louis","USA","1630692"
"WilfredGoodwin","PRO","","F","6-2","203 lbs","St John's Prep HS (NY)","USA","76833"
"AaronGordon","DEN","50","F","6-8","235 lbs","Arizona","USA","203932"
"BenGordon","CHI","7","G","6-3","205 lbs","Connecticut","USA","2732"
"DrewGordon","PHI","30","C-F","6-9","245 lbs","New Mexico","USA","204079"
"EricGordon","HOU","10","G","6-3","215 lbs","Indiana","USA","201569"
"LancasterGordon","LAC","4","G","6-3","185 lbs","Louisville","USA","76834"
"PaulGordon","BAL","","F","6-3","185 lbs","Notre Dame","USA","76835"
"MarcinGortat","WAS","13","C","6-11","240 lbs","RheinEnergie Cologne","Poland","101162"
"LeoGottlieb","NYK","9","G","5-11","180 lbs","DeWitt Clinton HS (NY)","USA","76836"
"AndrewGoudelock","LAL","0","G","6-3","200 lbs","College of Charleston","USA","202726"
"BatoGovedarica","PHI","14","G","5-11","185 lbs","DePaul","USA","76837"
"JoeGraboski","GSW","23","F","6-8","195 lbs","Tuley HS (IL)","USA","76838"
"RickyGrace","ATL","15","G","6-1","180 lbs","Oklahoma","USA","76839"
"KellanGrady","DEN","","G","6-5","205 lbs","Kentucky","USA","1631242"
"Devonte'Graham","NOP","4","G","6-1","195 lbs","Kansas","USA","1628984"
"GregGraham","PHI","21","G","6-4","182 lbs","Indiana","USA","37"
"JoeyGraham","TOR","12","F","6-7","230 lbs","Oklahoma State","USA","101121"
"MalGraham","BOS","11","G","6-1","185 lbs","New York University","USA","76843"
"OrlandoGraham","GSW","44","F","6-8","220 lbs","Auburn-Montgomery","USA","76841"
"PaulGraham","ATL","25","G","6-6","200 lbs","Ohio","USA","76842"
"StephenGraham","IND","26","G-F","6-6","215 lbs","Oklahoma State","USA","101211"
"TreveonGraham","CHA","2","G-F","6-5","219 lbs","Virginia Commonwealth","USA","1626203"
"JimGrandholm","DAL","50","C","7-0","235 lbs","South Florida","USA","76844"
"RonnieGrandison","BOS","20","F","6-6","220 lbs","New Orleans","USA","97"
"DannyGranger","IND","22","F-G","6-9","222 lbs","New Mexico","USA","101122"
"StewartGranger","CLE","11","G","6-3","190 lbs","Villanova","USA","76847"
"BrianGrant","MIA","55","F-C","6-9","254 lbs","Xavier","USA","258"
"BudGrant","LAL","20","F","6-3","195 lbs","Minnesota","USA","76850"
"GaryGrant","LAC","14","G","6-3","185 lbs","Michigan","USA","202"
"GregGrant","PHI","9","G","5-7","140 lbs","College of New Jersey","USA","285"
"HarveyGrant","WAS","44","F","6-9","225 lbs","Oklahoma","USA","265"
"HoraceGrant","CHI","54","C","6-10","245 lbs","Clemson","USA","270"
"JeramiGrant","POR","9","F","6-8","210 lbs","Syracuse","USA","203924"
"JerianGrant","CHI","22","G","6-4","198 lbs","Notre Dame","USA","1626170"
"JoshGrant","GSW","11","F","6-9","223 lbs","Utah","USA","76852"
"PaulGrant","UTA","45","C","7-0","245 lbs","Wisconsin","USA","1514"
"TravisGrant","LAL","33","F","6-7","215 lbs","Kentucky State","USA","76853"
"DonteGrantham","OKC","15","F","6-8","215 lbs","Clemson","USA","1629055"
"DonGrate","SHE","","G","6-2","185 lbs","Ohio State","USA","76854"
"ButchGraves","CLE","10","F","6-3","200 lbs","Yale","USA","76855"
"HassaniGravett","ORL","12","G","6-2","187 lbs","South Carolina","USA","1629755"
"AaronGray","CHI","33","C","7-0","270 lbs","Pittsburgh","USA","201189"
"DevinGray","HOU","9","F","6-7","240 lbs","Clemson","USA","1070"
"EdGray","ATL","22","G","6-3","210 lbs","California","USA","1516"
"EvricGray","BKN","2","F","6-7","235 lbs","UNLV","USA","1026"
"GaryGray","SAC","15","G","6-1","185 lbs","Oklahoma City","USA","76859"
"JoshGray","PHX","5","G","6-0","180 lbs","Louisiana State","USA","1627982"
"LeonardGray","OKC","11","F","6-8","240 lbs","Long Beach State","USA","76860"
"StuartGray","IND","40","C","7-0","235 lbs","UCLA","USA","76861"
"SylvesterGray","MIA","40","F","6-6","230 lbs","Memphis","USA","76862"
"WyndolGray","BOS","4","G","6-1","175 lbs","Harvard","USA","76863"
"JeffGrayer","MIL","20","G","6-5","210 lbs","Iowa State","USA","81"
"BobGreacen","MIL","18","F","6-7","206 lbs","Rutgers","USA","76865"
"A.C.Green","LAL","45","F","6-9","225 lbs","Oregon State","USA","920"
"A.J.Green","MIL","","G","6-4","190 lbs","Northern Iowa","USA","1631260"
"DannyGreen","MEM","14","G","6-6","215 lbs","North Carolina","USA","201980"
"DevinGreen","LAL","","G-F","6-7","212 lbs","Hampton","USA","101209"
"DraymondGreen","GSW","23","F","6-6","230 lbs","Michigan State","USA","203110"
"ErickGreen","DEN","11","G","6-4","185 lbs","Virginia Tech","USA","203475"
"GeraldGreen","BOS","14","G-F","6-7","205 lbs","No College","USA","101123"
"JaMychalGreen","GSW","","F-C","6-8","227 lbs","Alabama","USA","203210"
"JalenGreen","HOU","0","G","6-4","186 lbs","NBA G League Ignite","USA","1630224"
"JavonteGreen","CHI","24","G-F","6-5","205 lbs","Radford","USA","1629750"
"JeffGreen","DEN","32","F","6-8","235 lbs","Georgetown","USA","201145"
"JohnnyGreen","NYK","20","F","6-5","200 lbs","Michigan State","USA","76867"
"JoshGreen","DAL","8","G","6-5","200 lbs","Arizona","Australia","1630182"
"KenGreen","NYK","3","F","6-8","215 lbs","Texas-Pan American","USA","76868"
"KennyGreen","PHI","21","G","6-6","210 lbs","Wake Forest","USA","76869"
"LamarGreen","PHX","16","F","6-7","210 lbs","Morehead State","USA","600011"
"LitterialGreen","ORL","9","G","6-1","195 lbs","Georgia","USA","1036"
"LutherGreen","PHI","25","F","6-7","190 lbs","Long Island-Brooklyn","USA","76872"
"MikeGreen","SAS","23","C","6-10","200 lbs","Louisiana Tech","USA","76873"
"RickeyGreen","UTA","13","G","6-0","170 lbs","Michigan","USA","76874"
"SeanGreen","IND","30","G","6-5","210 lbs","Iona","USA","76875"
"SiGreen","WAS","28","G","6-2","185 lbs","Duquesne","USA","76877"
"SidneyGreen","CHI","21","F","6-9","220 lbs","UNLV","USA","76876"
"SteveGreen","IND","24","F","6-7","220 lbs","Indiana","USA","76878"
"TaureanGreen","DEN","0","G","6-0","177 lbs","Florida","USA","201192"
"TommyGreen","UTA","14","G","6-2","185 lbs","Southern","USA","76879"
"WillieGreen","PHI","34","G","6-3","205 lbs","Detroit","USA","2584"
"DonteGreene","SAC","13","F","6-11","226 lbs","Syracuse","USA","201590"
"OrienGreene","BOS","5","G","6-4","208 lbs","Louisiana-Lafayette","USA","101158"
"JerryGreenspan","PHI","22","F","6-5","195 lbs","Maryland","USA","76880"
"DavidGreenwood","CHI","33","F","6-9","222 lbs","UCLA","USA","76881"
"HalGreer","PHI","15","G","6-2","175 lbs","Marshall","USA","76882"
"LynnGreer","MIL","3","G","6-2","175 lbs","Temple","USA","2696"
"GaryGregor","POR","9","F","6-7","225 lbs","South Carolina","USA","76883"
"ClaudeGregory","LAC","43","F","6-8","205 lbs","Wisconsin","USA","76884"
"JohnGreig","OKC","22","F","6-7","215 lbs","Oregon","USA","76885"
"NormGrekin","GSW","","F","6-5","180 lbs","La Salle","USA","76886"
"KevinGrevey","WAS","35","G","6-5","210 lbs","Kentucky","USA","76887"
"AJGriffin","ATL","","F","6-6","220 lbs","Duke","USA","1631100"
"AdrianGriffin","DAL","44","G-F","6-5","230 lbs","Seton Hall","USA","1559"
"BlakeGriffin","BKN","2","F","6-9","250 lbs","Oklahoma","USA","201933"
"EddieGriffin","MIN","41","C","6-10","240 lbs","Seton Hall","USA","2204"
"GregGriffin","PHX","25","F","6-7","190 lbs","Idaho State","USA","76888"
"PaulGriffin","SAS","30","F","6-9","205 lbs","Western Michigan","USA","76889"
"TaylorGriffin","PHX","32","F","6-7","238 lbs","Oklahoma","USA","201981"
"DarrellGriffith","UTA","35","G","6-4","190 lbs","Louisville","USA","76890"
"ChuckGrigsby","NYK","17","G","6-5","190 lbs","Dayton","USA","76891"
"QuentinGrimes","NYK","6","G","6-4","210 lbs","Houston","USA","1629656"
"DerekGrimm","SAC","54","F","6-9","230 lbs","Missouri","USA","1575"
"GeorgeGrimshaw","PRO","","G","6-1","185 lbs","Brown","USA","76893"
"DickGroat","DET","5","G","5-11","180 lbs","Duke","USA","76894"
"BobGross","POR","30","F","6-6","200 lbs","Long Beach State","USA","76895"
"JerryGrote","LAL","32","G","6-4","215 lbs","Loyola-Marymount","USA","76896"
"AlexGroza","INO","","C","6-7","218 lbs","Kentucky","USA","76897"
"AnthonyGrundy","ATL","16","G","6-3","185 lbs","North Carolina State","USA","101219"
"ErnieGrunfeld","NYK","18","G","6-6","210 lbs","Tennessee","USA","76899"
"GeneGuarilia","BOS","20","F","6-5","220 lbs","George Washington","USA","76900"
"PeturGudmundsson","SAS","35","C","7-2","260 lbs","Washington","USA","76901"
"MarkoGuduric","MEM","23","G","6-6","201 lbs","","Serbia","1629741"
"RichieGuerin","NYK","19","G","6-4","195 lbs","Iona","USA","76902"
"MouhamadouGueye","DAL","","F","6-9","210 lbs","Pittsburgh","USA","1631338"
"TomGugliotta","PHX","7","F","6-10","250 lbs","North Carolina State","USA","339"
"AndresGuibert","MIN","51","C","6-10","225 lbs","Cantera Instituto","Cuba","76903"
"JayGuidinger","CLE","54","C","6-10","255 lbs","Minnesota-Duluth","USA","76904"
"CoulbyGunther","PIT","","F","6-4","190 lbs","Boston College","USA","76905"
"DaveGunther","GSW","11","F","6-7","190 lbs","Iowa","USA","76906"
"AlGuokas","DN","","","","","St. Joseph's (PA)","USA","76907"
"MattGuokas","PHI","10","G","6-6","175 lbs","St. Joseph's (PA)","USA","76908"
"MattGuokas","GSW","","G","6-3","195 lbs","St. Joseph's (PA)","USA","76909"
"JorgeGutierrez","BKN","12","G","6-3","189 lbs","California","Mexico","203268"
"KyleGuy","MIA","7","G","6-1","167 lbs","Virginia","USA","1629657"
"A.J.Guyton","CHI","11","G","6-2","185 lbs","Indiana","USA","2062"
"Seung-JinHa","POR","5","C","7-3","305 lbs","Yonsei","South Korea","2775"
