"Player","Team","Number","Position","Height","Weight","Last Attended","Country","id"
"JohnAmaechi","ORL","13","F-C","6-10","270 lbs","Penn State","United Kingdom","680"
"AshrafAmaya","MEM","18","F","6-7","250 lbs","Southern Illinois","USA","732"
"Al-FarouqAminu","POR","5","F","6-8","220 lbs","Wake Forest","USA","202329"
"LouAmundson","PHX","17","F","6-9","220 lbs","UNLV","USA","200811"
"BobAnderegg","NYK","18","F","6-3","200 lbs","Michigan State","USA","76034"
"ChrisAndersen","DEN","7","F-C","6-10","245 lbs","Blinn J.C.","USA","2365"
"DavidAndersen","HOU","11","C","6-11","247 lbs","FC Barcelona","Australia","2431"
"AlanAnderson","BKN","9","F-G","6-6","220 lbs","Michigan State","USA","101187"
"AntonioAnderson","OKC","8","G","6-6","215 lbs","Memphis","USA","202079"
"CliffAnderson","LAL","26","G","6-2","200 lbs","St. Joseph's (PA)","USA","76035"
"DanielAnderson","POR","33","G","6-2","185 lbs","Southern California","USA","76036"
"DerekAnderson","POR","1","G","6-5","195 lbs","Kentucky","USA","1507"
"DwightAnderson","DEN","20","G","6-3","185 lbs","Southern California","USA","76037"
"EricAnderson","NYK","42","F","6-9","220 lbs","Indiana","USA","944"
"GregAnderson","SAS","0","C-F","6-10","250 lbs","Houston","USA","246"
"JamesAnderson","SAS","5","G-F","6-6","213 lbs","Oklahoma State","USA","202341"
"JeromeAnderson","IND","21-23","G","6-5","195 lbs","West Virginia","USA","76040"
"JustinAnderson","IND","10","F-G","6-5","231 lbs","Virginia","USA","1626147"
"KennyAnderson","BKN","13","G","6-1","168 lbs","Georgia Tech","USA","72"
"KimAnderson","POR","42","F","6-7","200 lbs","Missouri","USA","76041"
"KyleAnderson","MIN","1","F-G","6-9","230 lbs","UCLA","USA","203937"
"MichaelAnderson","SAS","10","G","5-11","184 lbs","Drexel","USA","76042"
"MitchellAnderson","UTA","11","F","6-8","195 lbs","Bradley","USA","76043"
"NickAnderson","ORL","5","F-G","6-6","228 lbs","Illinois","USA","98"
"RichardAnderson","POR","35","F","6-10","240 lbs","California-Santa Barbara","USA","76045"
"RonAnderson","PHI","35","F","6-7","215 lbs","Fresno State","USA","76046"
"RyanAnderson","NOP","31","F","6-10","240 lbs","California","USA","201583"
"ShandonAnderson","NYK","49","G-F","6-6","215 lbs","Georgia","USA","1000"
"WillieAnderson","SAS","35","G-F","6-8","200 lbs","Georgia","USA","335"
"WallyAnderzunas","SAC","21","C","6-7","220 lbs","Creighton","USA","76048"
"MartynasAndriuskevicius","CLE","15","C","7-2","240 lbs","Zalgiris","Lithuania","101149"
"DonAnielak","NYK","12","F","6-7","190 lbs","Missouri State","USA","76049"
"IkeAnigbogu","IND","13","C-F","6-10","262 lbs","UCLA","USA","1628387"
"MichaelAnsley","ORL","54","F","6-7","225 lbs","Alabama","USA","76050"
"ChrisAnstey","DAL","22","C","7-0","249 lbs","South East Melbourne","Australia","1512"
"GiannisAntetokounmpo","MIL","34","F","6-11","242 lbs","Filathlitikos","Greece","203507"
"KostasAntetokounmpo","LAL","37","F","6-10","200 lbs","University of Dayton","Greece","1628961"
"ThanasisAntetokounmpo","MIL","43","F","6-6","219 lbs","Panathinaikos","Greece","203648"
"CarmeloAnthony","LAL","7","F","6-7","238 lbs","Syracuse","USA","2546"
"ColeAnthony","ORL","50","G","6-3","185 lbs","North Carolina","USA","1630175"
"GregAnthony","NYK","50","G","6-1","180 lbs","UNLV","USA","21"
"JoelAnthony","MIA","30","C","6-9","245 lbs","UNLV","Canada","201202"
"PeroAntic","ATL","6","F-C","6-11","260 lbs","Olympiacos","Macedonia","203544"
"OGAnunoby","TOR","3","F","6-7","232 lbs","Indiana","United Kingdom","1628384"
"KeithAppling","ORL","15","G","6-1","185 lbs","Michigan State","USA","203951"
"RafaelAraujo","TOR","55","C","6-11","270 lbs","Brigham Young","Brazil","2737"
"StaceyArceneaux","ATL","","F","6-4","210 lbs","Iowa State","USA","76053"
"NateArchibald","SAC","1","G","6-1","150 lbs","Texas-El Paso","USA","76054"
"RobertArchibald","TOR","34","F","6-11","250 lbs","Illinois","Scotland","2425"
"RyanArcidiacono","CHI","51","G","6-3","195 lbs","Villanova","USA","1627853"
"JimArd","BOS","34","C","6-9","215 lbs","Cincinnati","USA","76055"
"GilbertArenas","WAS","10","G","6-4","215 lbs","Arizona","USA","2240"
"TrevorAriza","LAL","8","F","6-8","215 lbs","UCLA","USA","2772"
"PaulArizin","GSW","11","F","6-4","190 lbs","Villanova","USA","76056"
"JoeArlauckas","SAC","53","F","6-9","230 lbs","Niagara","USA","76057"
"AdonisArms","DEN","","G","6-6","205 lbs","Texas Tech","USA","1631317"
"B.J.Armstrong","CHI","11","G","6-2","185 lbs","Iowa","USA","769"
"BobArmstrong","GSW","19","C","6-8","220 lbs","Michigan State","USA","76061"
"BrandonArmstrong","BKN","1","G","6-5","185 lbs","Pepperdine","USA","2220"
"DarrellArmstrong","ORL","10","G","6-1","180 lbs","Fayetteville State","USA","353"
"HiltonArmstrong","NOP","57","F-C","6-11","235 lbs","Connecticut","USA","200756"
"PaulArmstrong","DET","3","G","5-11","170 lbs","Indiana","USA","76060"
"TateArmstrong","CHI","14","G","6-3","175 lbs","Duke","USA","76059"
"JesseArnelle","DET","15-18","F","6-5","220 lbs","Penn State","USA","76062"
"JayArnette","SAC","21","G","6-2","175 lbs","Texas-Austin","USA","76063"
"BobArnzen","SAC","21-30","F","6-5","205 lbs","Notre Dame","USA","76064"
"CarlosArroyo","ORL","45","G","6-2","200 lbs","Florida International","Puerto Rico","2306"
"DarrellArthur","DEN","00","F","6-9","235 lbs","Kansas","USA","201589"
"JohnArthurs","MIL","12","G","6-4","185 lbs","Tulane","USA","76065"
"JamelArtis","ORL","0","G","6-7","213 lbs","Pittsburgh","USA","1628503"
"OmerAsik","NOP","3","C","7-0","255 lbs","Fenerbahce","Turkey","201600"
"VincentAskew","OKC","22","F","6-6","235 lbs","Memphis","USA","355"
"KeithAskins","MIA","2","F-G","6-8","215 lbs","Alabama","USA","173"
"DonAsmonga","BAL","","G","6-2","185 lbs","Alliance","USA","76068"
"RichardAtha","NYK","7","G","6-2","190 lbs","Indiana State","USA","76069"
"ChuckyAtkins","DET","17","G","5-11","185 lbs","South Florida","USA","1088"
"AlvinAttles","GSW","16","G","6-1","175 lbs","North Carolina A&T","USA","76070"
"ChetAubuchon","DEF","","G","5-10","137 lbs","Michigan State","USA","76071"
"StaceyAugmon","ATL","2","F-G","6-8","213 lbs","UNLV","USA","278"
"D.J.Augustin","LAL","4","G","5-11","183 lbs","Texas-Austin","USA","201571"
"JamesAugustine","ORL","40","F","6-10","235 lbs","Illinois","USA","200788"
"IkeAustin","MIA","9","C","6-10","270 lbs","Arizona State","USA","1134"
"JohnAustin","WAS","34","G","6-0","170 lbs","Boston College","USA","76073"
"KenAustin","DET","34","F","6-9","205 lbs","Rice","USA","76074"
"DeniAvdija","WAS","9","F","6-9","210 lbs","Maccabi Tel Aviv","Israel","1630166"
"AnthonyAvent","MIL","30","C","6-9","240 lbs","Seton Hall","USA","138"
"WilliamAveritt","LAC","15","G","6-2","170 lbs","Pepperdine","USA","76076"
"WilliamAvery","MIN","30","G","6-2","180 lbs","Duke","USA","1895"
"DennisAwtrey","PHX","20","C","6-10","235 lbs","Santa Clara","USA","76078"
"JoelAyayi","WAS","17","G","6-4","180 lbs","Gonzaga","France","1630555"
"GustavoAyon","NOP","14","F-C","6-10","250 lbs","Baloncesto Fuenlabrada","Mexico","202970"
"JeffAyres","SAS","19","F-C","6-9","250 lbs","Arizona State","USA","201965"
"DeandreAyton","PHX","22","C","6-11","250 lbs","Arizona","Bahamas","1629028"
"KelennaAzubuike","GSW","4","G","6-5","215 lbs","Kentucky","United Kingdom","101235"
"UdokaAzubuike","UTA","20","C-F","7-0","270 lbs","Kansas","Nigeria","1628962"
"ChrisBabb","BOS","52","G","6-5","225 lbs","Iowa State","USA","203569"
"LukeBabbitt","NOP","22","F","6-9","225 lbs","Nevada-Reno","USA","202337"
"MilosBabic","CLE","00","C","7-0","240 lbs","Tennessee Tech","USA","76079"
